symbol,price,date
AELP3,7.79,01-28-2014
AELP3,7.5,01-29-2014
AELP3,7.52,01-30-2014
AELP3,7.49,01-31-2014
AELP3,7.35,02-03-2014
AELP3,7.39,02-04-2014
AELP3,7.27,02-05-2014
AELP3,7.54,02-06-2014
AELP3,7.17,02-07-2014
AELP3,7.68,02-10-2014
AELP3,7.08,02-13-2014
AELP3,7.01,02-14-2014
AELP3,7.25,02-17-2014
AELP3,6.85,02-18-2014
AELP3,7.17,02-19-2014
AELP3,7.05,02-20-2014
AELP3,7.1,02-24-2014
AELP3,7.19,02-25-2014
AELP3,7.44,02-26-2014
AELP3,7.28,02-27-2014
AELP3,7.41,02-28-2014
AELP3,7.39,03-05-2014
AELP3,7.05,03-06-2014
AELP3,6.87,03-07-2014
AELP3,6.78,03-10-2014
AELP3,6.89,03-12-2014
AELP3,6.87,03-13-2014
AELP3,6.87,03-14-2014
AELP3,7.13,03-18-2014
AELP3,7.19,03-20-2014
AELP3,7.19,03-24-2014
AELP3,7.34,03-25-2014
AELP3,7.45,03-31-2014
AELP3,6.51,04-01-2014
AELP3,7.19,04-02-2014
AELP3,7.19,04-03-2014
AELP3,7.27,04-04-2014
AELP3,7.07,04-07-2014
AELP3,7.1,04-08-2014
AELP3,7.0,04-09-2014
AELP3,7.05,04-10-2014
AELP3,7.0,04-14-2014
AELP3,7.0,04-15-2014
AELP3,7.5,04-17-2014
AELP3,7.8,04-23-2014
AELP3,7.21,04-24-2014
AELP3,7.88,04-28-2014
AELP3,6.99,04-29-2014
AELP3,6.81,04-30-2014
AELP3,6.99,05-02-2014
AELP3,7.1,05-05-2014
AELP3,7.12,05-06-2014
AELP3,7.12,05-07-2014
AELP3,7.01,05-08-2014
AELP3,7.3,05-09-2014
AELP3,7.3,05-13-2014
AELP3,7.58,05-14-2014
AELP3,7.58,05-15-2014
AELP3,7.84,05-16-2014
AELP3,7.65,05-22-2014
AELP3,7.67,05-23-2014
AELP3,7.67,05-27-2014
AELP3,7.54,05-28-2014
AELP3,7.65,05-29-2014
AELP3,7.35,06-02-2014
AELP3,7.35,06-03-2014
AELP3,7.35,06-04-2014
AELP3,7.24,06-06-2014
AELP3,7.35,06-09-2014
AELP3,7.44,06-10-2014
AELP3,7.5,06-17-2014
AELP3,7.68,06-18-2014
AELP3,7.3,06-23-2014
AELP3,8.2,06-24-2014
AELP3,8.3,06-25-2014
AELP3,8.04,07-01-2014
AELP3,7.94,07-02-2014
AELP3,7.99,07-04-2014
AELP3,8.0,07-08-2014
AELP3,8.35,07-10-2014
AELP3,8.35,07-11-2014
AELP3,8.55,07-14-2014
AELP3,8.04,07-17-2014
AELP3,8.05,07-18-2014
AELP3,8.55,07-22-2014
AELP3,8.3,07-23-2014
AELP3,8.5,07-24-2014
AELP3,8.47,07-31-2014
AELP3,8.5,08-01-2014
AELP3,8.1,08-05-2014
AELP3,8.44,08-06-2014
AELP3,8.0,08-12-2014
AELP3,8.4,08-14-2014
AELP3,8.4,08-15-2014
AELP3,8.0,08-19-2014
AELP3,8.76,08-20-2014
AELP3,8.7,08-21-2014
AELP3,8.6,08-26-2014
AELP3,8.21,08-28-2014
AELP3,8.69,08-29-2014
AELP3,8.63,09-01-2014
AELP3,8.63,09-04-2014
AELP3,8.2,09-09-2014
AELP3,8.47,09-10-2014
AELP3,8.39,09-15-2014
AELP3,8.0,09-18-2014
AELP3,7.8,09-23-2014
AELP3,7.7,09-26-2014
AELP3,7.69,10-03-2014
AELP3,7.68,10-06-2014
AELP3,7.58,10-08-2014
AELP3,7.49,10-09-2014
AELP3,7.49,10-13-2014
AELP3,7.0,10-17-2014
AELP3,6.98,10-20-2014
AELP3,6.08,10-22-2014
AELP3,6.8,10-23-2014
AELP3,6.02,10-24-2014
AELP3,6.79,10-27-2014
AELP3,7.25,10-28-2014
AELP3,6.99,10-29-2014
AELP3,6.7,10-31-2014
AELP3,6.69,11-03-2014
AELP3,6.69,11-04-2014
AELP3,6.69,11-06-2014
AELP3,6.6,11-11-2014
AELP3,7.88,11-12-2014
AELP3,7.79,11-14-2014
AELP3,7.5,11-21-2014
AELP3,7.79,11-24-2014
AELP3,7.75,11-25-2014
AELP3,7.7,11-26-2014
AELP3,7.5,12-02-2014
AELP3,7.78,12-04-2014
AELP3,7.0,12-09-2014
AELP3,7.5,12-10-2014
AELP3,7.29,12-15-2014
AELP3,7.4,12-16-2014
AELP3,9.34,12-19-2014
AELP3,8.89,01-02-2015
AELP3,9.5,01-06-2015
AELP3,8.9,01-14-2015
AELP3,8.5,01-19-2015
AELP3,9.2,01-20-2015
AELP3,9.2,01-21-2015
AELP3,9.0,01-22-2015
AELP3,9.21,01-23-2015
AELP3,8.99,01-26-2015
AELP3,7.26,01-30-2015
AELP3,8.49,02-02-2015
AELP3,8.29,02-11-2015
AELP3,8.29,02-11-2015
AELP3,8.29,02-11-2015
AELP3,8.29,02-11-2015
AELP3,8.29,02-11-2015
AELP3,8.29,02-11-2015
AELP3,8.29,02-11-2015
AELP3,8.29,02-11-2015
AELP3,8.29,02-11-2015
AGRO3,9.5,01-02-2014
AGRO3,9.21,01-03-2014
AGRO3,9.27,01-06-2014
AGRO3,9.39,01-07-2014
AGRO3,9.49,01-08-2014
AGRO3,9.37,01-09-2014
AGRO3,9.25,01-10-2014
AGRO3,9.17,01-13-2014
AGRO3,9.16,01-14-2014
AGRO3,9.1,01-15-2014
AGRO3,8.9,01-16-2014
AGRO3,9.0,01-17-2014
AGRO3,8.79,01-20-2014
AGRO3,8.84,01-21-2014
AGRO3,8.9,01-22-2014
AGRO3,8.8,01-23-2014
AGRO3,8.8,01-24-2014
AGRO3,8.99,01-27-2014
AGRO3,8.7,01-28-2014
AGRO3,8.7,01-29-2014
AGRO3,8.49,01-30-2014
AGRO3,7.9,01-31-2014
AGRO3,7.86,02-03-2014
AGRO3,7.89,02-04-2014
AGRO3,7.75,02-05-2014
AGRO3,7.75,02-06-2014
AGRO3,8.0,02-07-2014
AGRO3,7.92,02-10-2014
AGRO3,8.09,02-11-2014
AGRO3,7.85,02-12-2014
AGRO3,7.88,02-13-2014
AGRO3,8.05,02-14-2014
AGRO3,7.95,02-17-2014
AGRO3,7.9,02-18-2014
AGRO3,7.98,02-19-2014
AGRO3,7.99,02-20-2014
AGRO3,7.99,02-21-2014
AGRO3,8.0,02-24-2014
AGRO3,7.97,02-25-2014
AGRO3,7.97,02-26-2014
AGRO3,7.85,02-27-2014
AGRO3,8.0,02-28-2014
AGRO3,8.15,03-05-2014
AGRO3,8.2,03-06-2014
AGRO3,8.15,03-07-2014
AGRO3,8.2,03-10-2014
AGRO3,8.3,03-11-2014
AGRO3,8.53,03-12-2014
AGRO3,8.6,03-13-2014
AGRO3,8.8,03-14-2014
AGRO3,8.79,03-17-2014
AGRO3,8.6,03-18-2014
AGRO3,8.75,03-19-2014
AGRO3,8.6,03-20-2014
AGRO3,8.8,03-21-2014
AGRO3,8.8,03-24-2014
AGRO3,8.6,03-25-2014
AGRO3,8.59,03-26-2014
AGRO3,8.57,03-27-2014
AGRO3,8.6,03-28-2014
AGRO3,8.78,03-31-2014
AGRO3,8.6,04-01-2014
AGRO3,8.4,04-02-2014
AGRO3,8.79,04-03-2014
AGRO3,8.6,04-04-2014
AGRO3,8.85,04-07-2014
AGRO3,8.76,04-08-2014
AGRO3,9.1,04-09-2014
AGRO3,8.7,04-10-2014
AGRO3,8.7,04-11-2014
AGRO3,8.87,04-14-2014
AGRO3,9.18,04-15-2014
AGRO3,9.1,04-16-2014
AGRO3,9.1,04-17-2014
AGRO3,8.8,04-22-2014
AGRO3,8.9,04-23-2014
AGRO3,8.83,04-24-2014
AGRO3,8.99,04-25-2014
AGRO3,8.85,04-28-2014
AGRO3,8.9,04-29-2014
AGRO3,8.95,04-30-2014
AGRO3,9.12,05-02-2014
AGRO3,9.5,05-05-2014
AGRO3,9.61,05-06-2014
AGRO3,9.65,05-07-2014
AGRO3,9.84,05-08-2014
AGRO3,9.96,05-09-2014
AGRO3,10.07,05-12-2014
AGRO3,10.14,05-13-2014
AGRO3,10.24,05-14-2014
AGRO3,10.21,05-15-2014
AGRO3,10.1,05-16-2014
AGRO3,10.1,05-19-2014
AGRO3,10.15,05-20-2014
AGRO3,10.26,05-21-2014
AGRO3,10.29,05-22-2014
AGRO3,10.27,05-23-2014
AGRO3,10.33,05-26-2014
AGRO3,10.3,05-27-2014
AGRO3,10.3,05-28-2014
AGRO3,10.3,05-29-2014
AGRO3,10.39,05-30-2014
AGRO3,10.38,06-02-2014
AGRO3,10.1,06-03-2014
AGRO3,10.28,06-04-2014
AGRO3,10.15,06-05-2014
AGRO3,10.19,06-06-2014
AGRO3,10.15,06-09-2014
AGRO3,10.19,06-10-2014
AGRO3,9.99,06-11-2014
AGRO3,9.81,06-13-2014
AGRO3,9.75,06-16-2014
AGRO3,9.72,06-17-2014
AGRO3,9.4,06-18-2014
AGRO3,9.51,06-20-2014
AGRO3,9.54,06-23-2014
AGRO3,9.47,06-24-2014
AGRO3,9.49,06-25-2014
AGRO3,9.45,06-26-2014
AGRO3,9.55,06-27-2014
AGRO3,9.6,06-30-2014
AGRO3,9.58,07-01-2014
AGRO3,9.5,07-02-2014
AGRO3,9.62,07-03-2014
AGRO3,9.5,07-04-2014
AGRO3,9.65,07-07-2014
